id,notes,original_zip,match,match_kind,state_code,county_code,tract_code,block_code,Rental Relief Fund: How much rent do you owe due to COVID-19,Rental Relief Fund: How much do you owe on utilities listed?,Rental Relief Fund: Total Monthly Income all sources,Rental Relief Gap,Months of Assistance Awarded,Date of Final Decision,Utility Payments - Amount obtained (),Future Stipend - Amount obtained (),Rental Arrears - Amount obtained (),Moving Costs - Amount obtained (),Total RRF Award
163427,,2130,Tie,,,,120600,2002,3850,0,824,3850,May-21; June-21,5/5/2021,,7074,1,,13525
163429,,2135,Match,Non_Exact,25,25,50400,2002,11200,0,1500,11200,21-Apr,4/30/2021,,11200,,,11200
163431,,2122,Match,Non_Exact,25,25,30100,1000,8200,0,0,8200,21-May,5/20/2021,,12300,,,12300
163433,,2124,Match,Non_Exact,25,25,502,2003,2025,1197.3,0,3222.3,21-Apr,4/30/2021,,2025,,,2025
163435,,2124,Match,Exact,25,25,100100,4005,12600,0,0,12600,21-May,5/13/2021,0,14400,,,14400
163436,,2128,Match,Non_Exact,25,25,100200,2003,1500,4000,938,5500,October-20; February-21; May-21,5/20/2021,,9000,,,9000
163437,,2131,Match,Non_Exact,25,25,92400,5003,3000,0,0,3000,21-May,5/13/2021,,5600,,,5600
163438,,2121,Match,Non_Exact,25,25,51000,1000,3000,800,3200,3800,October-20; May-21; June-21,5/20/2021,,4950,,,4950
163439,,2131,No_Match,,,,140106,1001,6177,0,377,6177,21-Jun,6/17/2021,,6177,,,6177
163441,,2122,Match,Non_Exact,25,25,90100,5002,550,0,900,550,June-21; July-21; August-21,6/11/2021,,2200,,,2200
163442,,2126,Match,Non_Exact,25,25,50700,2004,7322,1300,0,8622,May-21; June-21; July-21,5/6/2021,,11506,,,11506
163443,,2132,Match,Non_Exact,25,25,91700,3004,4675,0,0,4675,June-21; July-21; August-21,6/11/2021,,6550,,,6550
163444,,2121,Match,Non_Exact,25,25,101102,4006,9000,2200,0,11200,May-21; June-21; July-21,5/27/2021,,15000,,,15000
163445,,2121,Match,Exact,25,25,90200,1003,2200,1300,0,3500,,7/2/2021,,2400,,,2400
163446,,2121,Match,Non_Exact,25,25,101002,2019,2548,1000.46,0,3548.46,,6/25/2021,,6395,,,6395
163447,,2121,Match,Exact,25,25,82100,2002,1282,1329.74,4619.4,2611.74,21-May,5/13/2021,,1280,,,1280
163449,,2111,Match,Non_Exact,25,25,92400,3001,1479,1202.86,0,2681.86,21-May,5/6/2021,,1653,,,1653
163450,,2128,No_Match,,,,50600,2007,0,0,1800,0,,7/15/2021,,2250,,,2250
163451,,2135,Match,Non_Exact,25,25,70103,1001,0,222.92,920,222.92,May-21; June-21; July-21; August-21,5/4/2021,222.92,4676,,,9574.92
163452,,2131,No_Match,,,,110201,1011,8700,3500,3200,12200,May-21; May-21,5/4/2021,1500,8700,,,10200
163454,,2126,Match,Non_Exact,25,25,100601,3010,9600,1800,1200,11400,June-21; July-21,6/2/2021,,15000,,,15000
163456,,2122,Match,Non_Exact,25,25,101101,2006,780,6947,671,7727,May-21; June-21; July-21,5/25/2021,1500,2916,,,5596
163457,,2121,Match,Non_Exact,25,25,40600,1036,0,150,5520,150,May-21; May-21; June-21; July-21,5/13/2021,141.9,5626,,,5767.9
163458,,2128,Match,Non_Exact,25,25,50600,1005,9990,2400,2900,12390,21-Jun,6/16/2021,,9990,,,9990
163460,,2124,Match,Non_Exact,25,25,51000,1000,0,2893.9,692,2893.9,May-21; June-21; July-21,5/13/2021,1500,4275,,,5775
163461,,2122,Match,Non_Exact,25,25,40600,1036,0,265,1549,265,May-21; June-21; July-21; August-21,5/6/2021,,1963,,,1963
163462,,2124,Match,Exact,25,25,92300,3006,14800,0,0,14800,21-May,5/13/2021,,14800,,,14800
163464,,2125,Match,Non_Exact,25,25,91900,4003,7880,0,0,7880,21-May,5/13/2021,,7970,,,7970
163466,,2121,Match,Non_Exact,25,25,100200,2004,1350,0,200,1350,21-Jan,8/12/2021,,2250,,1500,6000
163467,,2125,Match,Non_Exact,25,25,50400,1000,4800,0,0,4800,21-Jun,6/2/2021,,7800,,,7800
163468,,2131,Match,Non_Exact,25,25,91300,1003,6000,0,1068,6000,21-May,5/13/2021,,6000,,,6000
163469,,2122,No_Match,,,,91700,1005,12600,0,0,12600,21-May,5/25/2021,,12600,,,12600
163471,,2124,Match,Exact,25,25,100500,2005,7205.91,0,715,7205.91,21-Jun,6/8/2021,,7206,,,7206
163472,,2125,Match,Non_Exact,25,25,90100,5005,12000,0,0,12000,21-Jun,6/9/2021,,,12000,,15000
163473,,2128,Match,Non_Exact,25,25,82000,1008,6600,0,2000,6600,,8/12/2021,,15000,13200,,28200
163474,,2135,Match,Non_Exact,25,25,100601,4004,5100,467.97,0,5567.97,May-21; May-21,5/28/2021,578.16,8500,,,9078.16
163477,,2136,Match,Non_Exact,25,25,92000,3009,1800,5003,2040,6803,21-May,5/20/2021,1500,10200,,,11700
163478,,2128,Match,Exact,25,25,50200,4002,5500,500,1664,6000,September-21; October-21; November-21,8/17/2021,,3300,5500,,8800
163479,,2124,Match,Non_Exact,25,25,140300,6005,4500,2932.61,912,7432.61,September-20; May-21; June-21; July-21,5/27/2021,,9000,,,9000
163480,,2121,Match,Non_Exact,25,25,100400,3002,5400,4325.54,0,9725.54,June-21; July-21; August-21,6/17/2021,,9449,1,,9450
163481,,2124,Match,Non_Exact,25,25,82100,3002,12000,4000,0,16000,21-May,5/20/2021,,13441,,,13441
163482,,2130,Match,Non_Exact,25,25,82100,3002,6000,0,0,6000,21-May,5/13/2021,,,6000,,6000
163483,,2121,Match,Non_Exact,25,25,92300,3007,7500,6800,2000,14300,21-May,5/20/2021,,7500,,,7500
163484,,2130,No_Match,,,,120301,2000,3405,0,0,3405,May-21; July-21,5/27/2021,,4137.5,,,4137.5
163485,,2124,Match,Non_Exact,25,25,50400,1004,0,0,2904,0,January-21; February-21; March-21; May-21; June-21; July-21,5/25/2021,,3600,,,3600
163486,,2131,Match,Non_Exact,25,25,81900,4003,8900,0,897,8900,21-May,5/20/2021,,6800,,,6800
163487,,2136,Match,Non_Exact,25,25,101002,3016,5594.3,720,0,6314.3,21-May,5/20/2021,,7200,,,7200
163488,,2121,Match,Exact,25,25,90100,4000,3900,0,0,3900,21-May,5/20/2021,,5200,,,5200
163489,,2119,Match,Non_Exact,25,25,110401,1000,6150,0,0,6150,21-May,5/20/2021,0,7750,,,7750
163490,,2121,Match,Non_Exact,25,25,10405,2000,6000,0,0,6000,,7/15/2021,,14002.14,,,14002.14
163491,,2128,Match,Non_Exact,25,25,90100,5002,5100,3769,292,8869,April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,9/8/2021,,5100,8500,,13600
163493,,2122,Match,Non_Exact,25,25,50400,2006,3700,3600,1500,7300,January-21; April-21,4/22/2021,,1500,,,1500
163495,,2128,Match,Non_Exact,25,25,91700,1004,1056,0,500,1056,21-May,5/26/2021,1500,1056,1323,,5287
163496,,2136,Match,Non_Exact,25,25,140300,2006,6000,0,2000,6000,May-21; June-21; July-21,5/25/2021,,12000,,,12000
163497,,2131,Match,Non_Exact,25,25,81001,4003,4190,0,4000,4190,May-21; June-21; July-21,5/13/2021,,8380,,,8380
163498,,2136,No_Match,,,,140202,3002,9574,0,0,9574,May-21; June-21; July-21,5/12/2021,,13324,,,13324
163499,,2118,Match,Non_Exact,25,25,110403,2002,3200,280,0,3480,21-Jun,7/19/2021,,7400,,,7400
163500,,2121,Match,Non_Exact,25,25,120301,2001,3000,7400,0,10400,December-20; June-21; July-21; August-21,5/28/2021,1500,6750,,,8250
163504,,2134,Match,Non_Exact,25,25,60603,1005,1609.1,1439.12,2000,3048.22,May-21; June-21; July-21,5/20/2021,,4476,,,4476
163505,,2125,Match,Non_Exact,25,25,604,1005,4137,0,2000,4137,September-20; October-20; May-21; May-21; June-21,4/29/2021,,9653,,,9653
163506,,2128,Match,Non_Exact,25,25,92101,5009,4400,1160,2200,5560,May-21; June-21; July-21,5/20/2021,,8800,,,8800
163507,,2125,No_Match,,,,91500,2005,15000,1500,2000,16500,21-May,5/20/2021,,15000,,,15000
163508,,2122,Match,Non_Exact,25,25,70402,1007,3685,858,0,4543,May-21; June-21; July-21,5/20/2021,,15000,,,15000
163509,,2115,Tie,,,,10204,3007,989,0,1100,989,May-21; June-21; July-21; August-21,5/27/2021,,4943,,,4943
163510,,2124,Match,Non_Exact,25,25,51000,1000,4785,0,2500,4785,21-May,5/25/2021,,4785,,,4785
163511,,2124,Match,Exact,25,25,100400,1001,12950,5000,2000,17950,,5/26/2021,1500,14450,,,15950
163512,,2124,Match,Exact,25,25,92200,1010,8400,4106,1500,12506,21-Jun,5/25/2021,682.45,14682.45,,,15364.9
163515,,2126,Match,Non_Exact,25,25,10403,1002,17920,0,2000,17920,21-May,5/5/2021,,15000,,,15000
163517,,2128,Match,Non_Exact,25,25,100300,3008,8400,2200,14269,10600,21-May,5/25/2021,700,14300,,,15000
163518,,2124,Match,Non_Exact,25,25,50500,1003,6000,0,1500,6000,,7/15/2021,,7500,,,7500
163519,,2124,Match,Non_Exact,25,25,50101,1002,4200,3833,1317.06,8033,May-21; June-21; July-21; August-21; September-21; October-21; November-21,7/6/2021,,12600,303.45,,16303.45
163520,,2124,Match,Exact,25,25,100300,1006,6713,0,4416,6713,21-Apr,4/27/2021,,6713,,,6713
163521,,2116,Match,Non_Exact,25,25,100601,4003,5400,775,5359.96,6175,May-21; June-21; July-21; August-21,5/13/2021,1044.14,13955.86,,,15000
163523,,2136,Match,Non_Exact,25,25,100800,6002,0,0,2800,0,June-21; July-21; August-21,6/4/2021,,5524,,,5524
163525,,2121,Match,Non_Exact,25,25,140105,1009,15,0,4000,15,21-Dec,5/12/2021,,10850,,,10850
163526,,2131,Match,Non_Exact,25,25,51000,2010,936,440,2600,1376,May-21; June-21; July-21,5/13/2021,634.23,4200,,,4834.23
163527,,2118,Match,Non_Exact,25,25,50300,1010,15000,793.61,2800,15793.61,May-21; June-21,5/4/2021,871.31,6000,,,15124.8
163529,,2126,Match,Non_Exact,25,25,110607,1003,1850,170,3480,2020,May-21; June-21; July-21,5/20/2021,,5550,,,5550
163530,,2119,Match,Non_Exact,25,25,110403,5002,5600,5100,2400,10700,21-Jun,6/3/2021,1500,4600,,,6100
163532,,2115,Match,Non_Exact,25,25,70700,1010,2379,0,2800,2379,June-21; July-21; August-21,6/7/2021,,4899,,,4899
163534,,2119,Match,Exact,25,25,81400,1002,0,0,1376,0,,7/15/2021,,4817.01,,,4817.01
163535,,2124,Match,Exact,25,25,100900,1000,6000,370,1200,6370,June-21; July-21; August-21,6/21/2021,251.83,14700,,,14951.83
163536,,2132,No_Match,,,,130406,2011,2700,0,0,2700,June-21; July-21; August-21,6/11/2021,,5400,,,5400
163537,,2124,No_Match,,,,92300,2002,16900,855.5,1368,17755.5,21-May,5/25/2021,,15000,,,15000
163538,,2111,Match,Non_Exact,25,25,60604,1001,0,2651.06,0,2651.06,June-21; July-21,6/4/2021,,4476,,,8197.85
163539,,2121,Match,Non_Exact,25,25,50200,1006,1950,1365,3000,3315,May-21; July-21,5/27/2021,,5850,,,5850
163541,,2121,Match,Non_Exact,25,25,70202,1002,0,0,1523,0,February-21; March-21; April-21; July-21; August-21,6/11/2021,,3600,,,3600
163543,,2115,Match,Non_Exact,25,25,101002,2014,3200,600,1500,3800,21-May,5/13/2021,,2800,,,2800
163544,,2119,Tie,,,,80100,2001,2000,648,4000,2648,,8/27/2021,,10600,5950,,16550
163545,,2124,Match,Non_Exact,25,25,140300,6002,4000,0,1000,4000,August-21; September-21; October-21,,,,4000,,4000
163546,,2119,Match,Non_Exact,25,25,10404,3000,7531,0,1800,7531,21-May,5/20/2021,,9383.46,,,9383.46
163547,,2134,Match,Non_Exact,25,25,100400,2000,4900,493.13,0,5393.13,May-21; May-21; June-21; July-21,5/6/2021,,4900,,,4900
163548,,2128,Match,Non_Exact,25,25,81700,3004,4000,0,2500,4000,21-Apr,4/30/2021,,4000,,,4000
163549,,2135,Match,Non_Exact,25,25,604,1002,4425,1701.95,1600,6126.95,May-21; June-21; July-21,5/4/2021,1500,10325,,,15029
163550,,2128,Match,Exact,25,25,51000,3002,7500,0,1400,7500,21-May,5/13/2021,,7500,,,7500
163551,,2124,Match,Non_Exact,25,25,506,1003,7500,0,2524,7500,May-21; June-21,6/8/2021,,11250,,,11250
163552,,2210,Match,Non_Exact,25,25,100500,4006,2400,0,2100,2400,May-21; June-21,5/13/2021,0,3222,,,3222
163553,,2125,No_Match,,,,90700,1008,2100,201,1900,2301,July-21; August-21; September-21; October-21,7/2/2021,,4200,,,4200
163554,,2124,Match,Non_Exact,25,25,61204,1018,4317.78,3885.08,2894,8202.86,May-21; June-21; July-21,5/27/2021,,11028.78,,,11028.78
163555,,2128,Match,Non_Exact,25,25,100500,3006,14400,2251,2400,16651,21-May,5/4/2021,,15000,,,15000
163556,,2111,Match,Non_Exact,25,25,50600,1005,4400,0,850,4400,June-21; July-21,5/27/2021,,3300,,,3300
163558,,2135,Match,Non_Exact,25,25,100900,4012,5400,2030,1800,7430,August-21; September-21; October-21,7/12/2021,1500,10800,,,14700
163559,,2113,Match,Non_Exact,25,25,140202,3010,2500,0,3600,2500,June-21; July-21; August-21,6/4/2021,,9900,,,9900
163560,,2119,Match,Non_Exact,25,25,402,1005,0,0,1600,0,May-21; June-21,5/13/2021,0,5250,,,5250
163561,,2134,Match,Non_Exact,25,25,30400,3000,6400,0,2000,6400,21-May,5/6/2021,,6400,,,6400
163562,,2132,Match,Non_Exact,25,25,81800,1003,10500,0,2800,10500,May-21; June-21,5/4/2021,,14700,,,14700
163563,,2128,Match,Non_Exact,25,25,101,2002,4100,393,2500,4493,May-21; June-21; July-21,5/4/2021,393,6899,1,,7293
163564,,2132,Match,Exact,25,25,130300,4009,2900,4000,2132,6900,21-May,5/20/2021,,5259,,,5259
163565,,2135,Match,Non_Exact,25,25,110201,1012,9000,1975,4200,10975,June-21; July-21; August-21; September-21,6/25/2021,,13704,,,13704
163567,,2136,Match,Non_Exact,25,25,202,3007,3694,0,1307.24,3694,June-21; August-21; September-21,7/8/2021,,3694,1847,,5939.21
163569,,2120,Match,Non_Exact,25,25,140201,2009,7200,0,2610,7200,May-21; June-21; July-21,5/27/2021,,11100,,,11100
163570,,2128,Match,Non_Exact,25,25,91600,3005,5400,80,2800,5480,21-Jun,6/4/2021,,5400,,,5400
163571,,2210,Match,Non_Exact,25,25,100500,3000,0,1198,3600,1198,July-21; August-21,6/11/2021,,8550,,,8550
163572,,2135,Match,Non_Exact,25,25,51000,2010,1380,0,3000,1380,,7/15/2021,,9916,,,9916
163573,,2121,Match,Non_Exact,25,25,61204,1018,617,0,1600,617,May-21; June-21,5/6/2021,,4268,,,4268
163574,,2210,Match,Non_Exact,25,25,82000,1003,2890,300,4000,3190,21-Jun,6/3/2021,657.17,4335,2890,,13662.17
163577,,2113,Match,Non_Exact,25,25,110106,1002,0,1052.61,0,1052.61,21-Jun,6/11/2021,1216.41,1216.41,,,2432.82
163578,,2128,No_Match,,,,50500,1006,,509.08,0,509.08,June-21; July-21; August-21,6/17/2021,,6400,1600,,12800
163579,,2128,Match,Non_Exact,25,25,81900,4000,2118.98,0,3877.88,2118.98,June-21; July-21; August-21,6/4/2021,,7018.98,1,,10694.98
163580,,2125,No_Match,,,,90700,4005,0,0,3676.5,0,June-21; July-21; August-21,6/4/2021,,10612,,,10612
163581,,2113,No_Match,,,,30400,3003,5200,0,4000,5200,21-May,5/6/2021,,,5199.98,,14299.98
163582,,2119,Match,Non_Exact,25,25,50700,2004,15276,800,2580,16076,21-May,5/6/2021,,15000,,,15000
163583,,2127,Match,Non_Exact,25,25,110607,3000,1277,0,0,1277,June-21; July-21; August-21; September-21,6/25/2021,,5108,,,5108
163584,,2122,Tie,,,,91600,2004,0,0,4300,0,June-21; July-21; August-21,6/4/2021,,2800,,,2800
163585,,2131,Match,Non_Exact,25,25,51200,3000,1950,0,1987,1950,June-21; July-21; August-21,6/4/2021,,7800,,,15000
163586,,2125,Match,Exact,25,25,90700,1003,1400,562.91,427,1962.91,June-21; July-21; August-21,6/1/2021,562.91,5600,,,6162.91
163587,,2124,Match,Non_Exact,25,25,110501,3003,2050,1800,6000,3850,May-21; June-21; July-21,5/5/2021,1500,8200,,,9700
163588,multiple possible matches across multiple zipcodes ,2119,Tie,,,,,,1134.5,571.22,0,1705.72,June-21; June-21; July-21; August-21,6/11/2021,571.22,4538,,,5109.22
163589,,2124,Match,Non_Exact,25,25,701,2004,690,0,1500,690,June-21; July-21; August-21,6/2/2021,,2760,,,4830
163590,,2124,No_Match,,,,100601,3008,0,4980.58,1880,4980.58,July-21; August-21; September-21; October-21,7/2/2021,,4575,,,4575
163591,,2119,No_Match,,,,80500,1007,6400,218,1200,6618,February-21; March-21; April-21; June-21; July-21; August-21,6/3/2021,218.33,3954,1318,,9444.33
163592,,2124,Match,Non_Exact,25,25,80500,2002,12090,0,1006,12090,21-Jun,6/3/2021,,12090,,,12090
163594,,2210,Match,Non_Exact,25,25,81400,3003,4540,0,24500,4540,,5/5/2021,,4515,,,4515
163595,,2130,Match,Non_Exact,25,25,92300,4004,5600,3700,4400,9300,June-21; July-21; August-21,6/22/2021,,9800,,,9800
163596,,2121,Match,Non_Exact,25,25,110105,1013,6000,0,2300,6000,21-May,5/20/2021,,6000,,,6000
163598,,2135,Match,Non_Exact,25,25,60601,1000,1525,0,3200,1525,21-Jun,6/17/2021,,6100,,,6100
163599,,2119,Match,Non_Exact,25,25,50700,2002,0,0,2000,0,October-20; December-20; January-21; June-21; July-21,6/11/2021,,5850,,,5850
163601,,2128,Match,Non_Exact,25,25,71101,2001,1360,0,500,1360,May-21; June-21,5/4/2021,,2040,,,2040
163602,,2132,Match,Non_Exact,25,25,81001,2003,4145.9,113.64,1526,4259.54,,,113.64,5277,,,5390.64
163606,,2122,Match,Non_Exact,25,25,130406,3002,0,4547.18,2668,4547.18,,,,,,1309.01,1309.01
163608,,2125,Match,Non_Exact,25,25,92400,3006,746.07,0,3424,746.07,July-21; August-21,5/25/2021,,6912,,,6912
163609,,2124,Match,Non_Exact,25,25,92101,5004,1772,3046.44,2400,4818.44,June-21; July-21; August-21,6/15/2021,1500,4380,,,5880
163610,,2121,Match,Non_Exact,25,25,91300,2008,6220,3300,2562.5,9520,21-May,5/20/2021,1500,6220,,,7720
163611,,2119,Match,Non_Exact,25,25,50500,1006,4600,0,0,4600,May-21; June-21; July-21,5/25/2021,,11500,,,11500
163612,,2134,Match,Non_Exact,25,25,100500,3001,17000,0,1100,17000,21-Jun,6/17/2021,,15000,,,15000
163613,,2111,Tie,,,,70202,1000,1902.04,400,0,2302.04,June-21; July-21; August-21,6/17/2021,,4830.04,,,4830.04
163615,,2130,Match,Non_Exact,25,25,140400,7007,2150,0,2000,2150,May-21; June-21; July-21,5/13/2021,,6450,,,6450
163616,,2115,Match,Non_Exact,25,25,90100,5004,4000,0,500,4000,June-21; July-21,6/4/2021,,4850,,,4850
163617,,2114,Match,Non_Exact,25,25,81101,2000,0,1200,3300,1200,May-21; May-21; June-21,5/28/2021,550.53,4640.89,,,5191.42
163618,,2128,Match,Non_Exact,25,25,10500,1004,0,0,3844.2,0,July-20; August-20; September-20; July-21; August-21,6/11/2021,,3954,,,7908
163619,,2136,Match,Non_Exact,25,25,20305,1006,11479,1742.2,2600,13221.2,,8/12/2021,,,13789,,13789
163620,,2124,Match,Non_Exact,25,25,102,2010,1492,0,3780,1492,June-21; July-21; August-21,6/8/2021,,4476,,,4476
163622,,2134,Match,Non_Exact,25,25,140201,2018,5000,1672.81,2820,6672.81,,7/8/2021,,9450,,,9450
163623,,2126,Match,Non_Exact,25,25,80401,2008,962,26,0,988,July-21; August-21; September-21; October-21,7/2/2021,,4221,,,4221
163624,,2126,Match,Non_Exact,25,25,51000,2009,0,0,2750,0,July-21; August-21; September-21; October-21,6/21/2021,,7323,,,10118
163625,,2128,Match,Non_Exact,25,25,81900,2004,5325,0,0,5325,March-21; March-21; June-21; June-21; July-21; August-21,6/15/2021,,10650,,,10650
163626,,2130,Match,Non_Exact,25,25,61203,1007,1492,350,0,1842,,7/8/2021,,7460,,,7460
163627,,2125,Match,Non_Exact,25,25,51000,1003,2400,0,2800,2400,June-21; July-21; August-21,6/28/2021,,9600,,,15000
163629,,2130,Match,Exact,25,25,110105,1004,1400,0,4166,1400,,,,1400,,,1400
163630,,2136,Match,Non_Exact,25,25,90300,2002,1500,0,0,1500,21-Jul,7/2/2021,,2680.47,,,2680.47
163631,,2136,Match,Non_Exact,25,25,91900,1001,8000,5247.52,4959,13247.52,June-21; July-21; August-21; September-21,6/21/2021,1000,14000,,,15000
163632,,2118,Match,Non_Exact,25,25,81200,2000,1373,112.25,570,1485.25,June-21; July-21; August-21; September-21,6/21/2021,,5492.75,1,,11066.36
163633,,2121,Match,Non_Exact,25,25,140400,5013,1000,0,636,1000,August-21; September-21; October-21,6/28/2021,,5000,,,5000
163634,,2128,Match,Non_Exact,25,25,110104,2008,0,0,2200,0,,7/8/2021,,8800,,,8800
163635,,2125,Match,Non_Exact,25,25,80401,1000,1307,0,3240,1307,June-21; July-21; August-21; September-21,6/21/2021,,5228,,,5228
163636,,2135,Match,Non_Exact,25,25,50600,1003,0,0,1300,0,July-21; August-21; September-21,6/21/2021,,2625,,,2625
163637,,2120,Match,Non_Exact,25,25,81900,2005,0,511.56,0,511.56,July-21; August-21; September-21,7/2/2021,,4500,,,4500
163638,,2121,No_Match,,,,82100,1006,0,639,2200,639,,8/20/2021,,,,2347,2347
163639,,2121,Match,Non_Exact,25,25,80801,2005,577,0,4000,577,July-21; August-21; September-21,6/25/2021,,2308,,,2308
163640,,2128,Match,Exact,25,25,51000,1010,0,0,2839,0,July-21; August-21; September-21,8/12/2021,,5000,4000,,9000
163641,,2124,Match,Non_Exact,25,25,82100,2002,2369,5650.39,2843,8019.39,July-21; August-21; September-21; October-21,7/26/2021,,7107,2369,,15000
163642,,2129,Match,Non_Exact,25,25,92000,1000,1299.74,3075,528,4374.74,21-Jul,6/28/2021,1500,1299.74,,,2799.74
163644,,2113,Match,Non_Exact,25,25,100500,4000,0,550,4200,550,,7/15/2021,,6542,,,6542
163646,,2122,Match,Non_Exact,25,25,81200,2000,3178,0,1908.45,3178,,6/28/2021,,3178,,,3178
163650,,2120,Match,Non_Exact,25,25,81700,4003,2380,3689.02,1126,6069.02,,7/6/2021,,2380,,,2380
163651,,2116,Match,Exact,25,25,70202,1006,1775,0,3264,1775,July-21; August-21; September-21; October-21,6/28/2021,,7100,,,10650
163652,,2121,Match,Non_Exact,25,25,81400,4005,4972,420.97,1256,5392.97,August-21; September-21; October-21,6/28/2021,420.97,8701,,,9121.97
163653,,2119,Match,Non_Exact,25,25,170302,3011,4360,365,2438.1,4725,August-21; September-21; October-21,8/17/2021,,6540,4360,,10900
163654,,2125,Match,Non_Exact,25,25,90200,1005,1700,0,2076,1700,July-21; August-21; September-21; October-21,,,6800,,,6800
163657,,2210,Match,Non_Exact,25,25,90700,4010,2250,387,396,2637,21-Jul,7/8/2021,,,3000,,4924.11
163661,,2124,Match,Non_Exact,25,25,40401,1013,0,0,1400,0,,7/15/2021,,3312,,,3312
163663,,2124,Match,Exact,25,25,100400,2002,1650,4252.74,3594.92,5902.74,June-21; July-21,7/15/2021,1500,8250,,,9750
163664,,2124,Match,Non_Exact,25,25,50600,1003,0,0,1734,0,September-20; October-21,8/5/2021,,1450,,,1450
163665,,2124,Match,Exact,25,25,92300,2004,4000,400,810,4400,April-21; May-21; June-21; July-21,7/12/2021,189.23,11500,,,11689.23
163666,,2121,Match,Non_Exact,25,25,100500,5005,2984,0,3500,2984,August-21; September-21; November-21,7/6/2021,,2984,,,2984
163668,,2119,Match,Non_Exact,25,25,90100,4004,7700,542.67,4000,8242.67,July-21; August-21; September-21; October-21,6/30/2021,700,14300,,,15000
163669,,2121,Match,Non_Exact,25,25,92400,1004,2965,0,4000,2965,,7/8/2021,,2965,,,2965
163671,,2124,Match,Non_Exact,25,25,82100,3004,0,0,2000,0,July-21; August-21; September-21,8/12/2021,,2424.72,,,2424.72
163672,,2136,Match,Non_Exact,25,25,82100,3000,1700,1800,1700,3500,,7/15/2021,,2821.63,,,2821.63
163674,,2128,Match,Non_Exact,25,25,100500,5011,0,0,0,0,,7/8/2021,,6200,,,6200
163675,,2136,Match,Exact,25,25,140105,2006,122.98,200,1600,322.98,November-20; July-21; August-21,8/12/2021,,,191.69,,191.69
163676,,2128,Match,Non_Exact,25,25,140300,2008,600,179.92,5090,779.92,July-21; August-21; September-21; October-21,7/15/2021,,4300,,,4300
163678,,2121,Match,Non_Exact,25,25,50400,2004,0,1100,2468,1100,,7/7/2021,1358.81,,,,1358.81
163679,,2125,Match,Non_Exact,25,25,10802,3002,4700,505.35,1148.1,5205.35,August-21; September-21; October-21,7/8/2021,505.35,11800,,,12305.35
163680,,2128,Match,Non_Exact,25,25,91900,3000,5999.4,0,2253.04,5999.4,July-21; August-21; September-21; October-21,7/7/2021,,4500,5999.4,,14999.4
163681,,2119,Match,Non_Exact,25,25,90700,4012,1218.41,1959.02,0,3177.43,July-21; August-21; September-21; October-21; November-21; December-21,7/15/2021,,3375,,,3375
163682,,2125,Match,Non_Exact,25,25,50101,2001,0,0,2500,0,August-21; September-21; October-21,,,2604,,,5208
163683,,2128,Match,Non_Exact,25,25,81302,2005,0,64,2289.31,64,August-20; September-20; October-20; November-20; December-20,7/15/2021,64.2,2319,,,2383.2
163684,,2136,Match,Non_Exact,25,25,140201,2018,2000,6000,1974,8000,July-21; August-21; September-21; October-21,,1500,7999,1,,9500
163685,,2124,Match,Non_Exact,25,25,51200,3000,3130,0,300,3130,July-21; August-21; September-21; October-21,7/12/2021,,5830,,,5830
163688,,2119,Match,Non_Exact,25,25,90100,1001,600,600,834,1200,March-21; April-21; May-21; June-21,7/19/2021,,666,561.68,,6330.45
163690,,2120,Match,Non_Exact,25,25,90300,1005,3195,0,2855.2,3195,August-21; September-21; October-21,7/19/2021,,9570,,,9570
163691,,2215,Match,Non_Exact,25,25,80500,1006,1611,0,0,1611,July-21; August-21; September-21; October-21,7/14/2021,,5516,1,,9423
163692,,2119,Match,Non_Exact,25,25,701,4001,0,0,1148.1,0,August-21; September-21; October-21,7/14/2021,,999,,,1998
163693,,2121,Match,Non_Exact,25,25,10204,1001,0,0,2894,0,August-21; September-21; October-21,7/19/2021,,4995,,,9990
163696,,2134,Match,Non_Exact,25,25,91900,3003,8611.4,4352.12,3918,12963.52,August-21; September-21; October-21,7/19/2021,1500,12403.4,,,13903.4
163697,,2125,Match,Non_Exact,25,25,140202,4010,0,3394.24,1754.4,3394.24,,7/19/2021,1500,,,,1500
163698,,2136,Match,Non_Exact,25,25,701,1002,0,0,2300,0,September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21,8/12/2021,,6600,0,,6600
163699,,2119,Match,Non_Exact,25,25,140106,1001,5184.32,0,1055,5184.32,March-20; April-20; May-20; June-20; July-20; August-20; September-20; October-20; November-20; December-20; January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21,8/20/2021,,8854.32,7382.32,,16236.64
163700,,2136,No_Match,,,,140102,2001,0,480,3200,480,August-21; September-21; October-21,7/19/2021,389.19,4476,,,9656.19
163703,,2136,Match,Non_Exact,25,25,91600,1003,0,1684.74,4000,1684.74,August-21; September-21; October-21; November-21; December-21,,423.49,,,,13023.49
163704,,2124,Match,Exact,25,25,100400,1005,0,0,824,0,July-21; August-21; September-21; October-21; November-21,8/12/2021,,0,2300,,2300
163712,,2130,Match,Non_Exact,25,25,81500,2002,6000,0,2400,6000,June-20; March-21; March-21; April-21,6/12/2021,,14510,,,14510
