,id,original_zip,match,match_kind,state_code,county_code,tract_code,block_code,Rental Relief Fund: How much rent do you owe due to COVID-19,Rental Relief Fund: How much do you owe on utilities listed?,Rental Relief Fund: Total Monthly Income all sources,Rental Relief Gap,Months of Assistance Awarded,Date of Final Decision,Utility Payments - Amount obtained (),Future Stipend - Amount obtained (),Rental Arrears - Amount obtained (),Moving Costs - Amount obtained (),Total RRF Award
67,162290,2125,Match,Non_Exact,25.0,25.0,100100.0,5001.0,0.0,0.0,388,6438,March-21; April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,9/10/2021,929.53,7200.0,4800.0,0.0,12929.53
68,162291,2125,Tie,0,0.0,0.0,0.0,0.0,1850.0,0.0,0,1850,October-21; November-21; December-21,0,465.8,5550.0,1850.0,0.0,7865.8
69,162297,2131,Match,Non_Exact,25.0,25.0,90200.0,3002.0,0.0,464.72,1896,464.72,October-21; November-21; December-21,0,464.72,2541.0,3388.0,0.0,6393.72
70,162302,2124,Match,Non_Exact,25.0,25.0,91500.0,3002.0,5000.0,0.0,4940,5000,April-21; May-21; June-21,4/30/2021,0.0,7500.0,0.0,0.0,7500.0
71,162311,2130,Match,Exact,25.0,25.0,120201.0,2003.0,650.0,0.0,0,650,October-21; November-21,9/2/2021,0.0,0.0,1950.0,0.0,1950.0
72,162319,2119,Match,Non_Exact,25.0,25.0,92200.0,2007.0,6000.0,0.0,794,6000,0,9/9/2021,0.0,4500.0,6000.0,0.0,10500.0
73,162327,2125,Tie,0,0.0,0.0,91001.0,1001.0,7350.0,0.0,3000,7350,May-21; June-21; July-21; August-21,8/24/2021,1186.74,0.0,7400.0,0.0,14086.74
74,162328,2126,No_Match,0,0.0,0.0,101102.0,2009.0,6400.0,0.0,3200,6400,July-21; August-21; September-21; October-21; November-21; December-21,9/14/2021,1500.0,1105.0,5000.0,0.0,7605.0
75,162351,2124,Match,Non_Exact,25.0,25.0,51101.0,1008.0,0.0,650.0,1228,650,June-21; July-21; August-21; September-21,9/14/2021,243.23,0.0,7200.0,0.0,7443.23
76,162397,2130,Match,Non_Exact,25.0,25.0,601.0,2005.0,0.0,0.0,960,0,October-21; November-21; December-21,8/31/2021,0.0,2590.56,2301.0,0.0,4891.56
77,162401,2136,Match,Non_Exact,25.0,25.0,90700.0,4012.0,0.0,1100.0,3000,1100,January-21; February-21; March-21; April-21; May-21; June-21; July-21; August-21; September-21,9/6/2021,975.03,0.0,12887.0,0.0,13862.03
78,162406,2121,Match,Non_Exact,25.0,25.0,130406.0,2013.0,0.0,215.0,500,215,June-21; July-21; August-21; September-21,0,215.79,0.0,5392.0,0.0,5607.79
79,162407,2124,Match,Non_Exact,25.0,25.0,91500.0,3002.0,0.0,569.0,3000,569,July-21; August-21; September-21,8/24/2021,569.0,2500.0,5000.0,0.0,8069.0
80,162441,2121,Match,Non_Exact,25.0,25.0,101102.0,2006.0,10000.0,2300.0,765.4,20300,September-21; October-21,8/17/2021,1000.0,4000.0,10000.0,0.0,15000.0
