id,notes,original_zip,manual_match_zip,match,match_kind,state_code,county_code,tract_code,block_code,Rental Relief Fund: How much rent do you owe due to COVID-19,Rental Relief Fund: How much do you owe on utilities listed?,Rental Relief Fund: Total Monthly Income all sources,Rental Relief Gap,Months of Assistance Awarded,Date of Final Decision,Utility Payments - Amount obtained ($),Future Stipend - Amount obtained ($),Rental Arrears - Amount obtained ($),Moving Costs - Amount obtained ($),Total RRF Award
163339,,2125,,Match,Non_Exact,25,25,30400,1005,"$2,500.00 ",$0.00 ,$350.00 ,"$2,500.00 ",21-May,5/6/21,,"$3,480.00 ",,,"$3,480.00 "
163340,,2121,,Match,Non_Exact,25,25,91400,1001,"$4,380.00 ",$0.00 ,"$2,630.00 ","$4,380.00 ",21-Apr,4/30/21,,"$4,015.00 ",,,"$4,015.00 "
163342,,2121,,Match,Exact,25,25,82000,2004,"$7,200.00 ","$3,900.00 ",$350.00 ,"$11,100.00 ",May-21; June-21,5/27/21,,"$14,800.00 ",,,"$14,800.00 "
163344,,2122,,Match,Non_Exact,25,25,71201,1004,"$3,000.00 ",$200.00 ,$640.00 ,"$3,200.00 ",,5/4/21,,"$3,200.00 ",,,"$3,200.00 "
163345,,2122,,Match,Exact,25,25,100603,2014,"$1,800.00 ",$0.00 ,"$1,466.00 ","$1,800.00 ",April-21; April-21; May-21; May-21; June-21,4/20/21,,"$6,300.00 ",,,"$6,300.00 "
163346,,2124,,Match,Non_Exact,25,25,91800,3006,"$16,500.00 ",$0.00 ,$960.00 ,"$16,500.00 ",21-May,5/13/21,$0.00 ,"$15,000.00 ",,,"$15,000.00 "
163347,,2124,,Match,Non_Exact,25,25,91800,3006,"$13,500.00 ",$0.00 ,"$1,257.00 ","$13,500.00 ",21-May,5/13/21,$0.00 ,"$10,200.00 ",,,"$10,200.00 "
163348,,2116,,Match,Non_Exact,25,25,100300,4002,"$4,200.00 ",$0.00 ,"$1,475.00 ","$4,200.00 ",April-21; May-21; June-21; July-21,5/7/21,$0.00 ,"$5,800.00 ",,,"$5,800.00 "
163351,,,2124,No_Match,,,,100100,2003,"$3,180.00 ",$0.00 ,$0.00 ,"$3,180.00 ",21-May,5/12/21,,"$3,180.00 ",,,"$3,180.00 "
163354,,2116,,Match,Non_Exact,25,25,90300,3003,"$3,900.00 ",$760.88 ,"$1,176.00 ","$4,660.88 ",,7/8/21,,"$10,400.00 ",,,"$10,400.00 "
163355,,2122,,Match,Non_Exact,25,25,70302,1009,"$5,700.00 ",$0.00 ,"$1,148.00 ","$5,700.00 ",21-May,5/6/21,,"$7,500.00 ",,,"$7,500.00 "
163356,,2118,,Match,Non_Exact,25,25,91900,4001,"$4,350.00 ",$0.00 ,"$1,068.00 ","$4,350.00 ",21-Apr,4/20/21,,"$4,850.00 ",,,"$4,850.00 "
163357,,2125,,Match,Non_Exact,25,25,92101,4006,"$13,080.00 ","$1,550.00 ","$2,200.00 ","$14,630.00 ",21-Jun,5/13/21,,"$13,080.00 ",,,"$13,080.00 "
163358,,2119,,Match,Non_Exact,25,25,71101,2003,"$7,040.00 ",$0.00 ,"$2,000.00 ","$7,040.00 ",21-May,5/25/21,,"$7,040.00 ",,,"$7,040.00 "
163359,,2136,,Match,Non_Exact,25,25,91100,5002,"$1,950.00 ",$167.21 ,$0.00 ,"$2,117.21 ",April-21; May-21; May-21; June-21; July-21,4/21/21,$628.80 ,"$3,450.00 ",,,"$4,078.80 "
163360,,2125,,Match,Non_Exact,25,25,81800,3000,"$1,500.00 ",$0.00 ,"$6,000.00 ","$1,500.00 ",21-Apr,4/27/21,,"$1,500.00 ",,,"$1,500.00 "
163361,,2121,,Match,Non_Exact,25,25,91400,1001,"$4,244.00 ",$0.00 ,"$3,623.00 ","$4,244.00 ",21-Apr,4/23/21,,"$4,244.00 ",,,"$4,244.00 "
163362,,2136,,Match,Non_Exact,25,25,81900,2001,"$15,300.00 ",$600.00 ,"$1,601.00 ","$15,900.00 ",21-Apr,4/27/21,,"$15,000.00 ",,,"$15,000.00 "
163363,,2128,,Match,Non_Exact,25,25,91900,2003,$0.00 ,$0.00 ,"$1,208.00 ",$0.00 ,April-21; May-21; June-21,4/23/21,,"$4,800.00 ",,,"$4,800.00 "
163364,,,2136,No_Match,,,,140202,3002,"$9,859.00 ",$0.00 ,"$2,528.00 ","$9,859.00 ",21-Apr,4/9/21,,"$11,109.00 ",,,"$11,109.00 "
163365,,2113,,Match,Non_Exact,25,25,51000,1008,"$5,990.00 ",$81.00 ,"$4,434.00 ","$6,071.00 ",April-21; April-21; May-21; June-21,4/27/21,,"$14,975.00 ",,,"$14,975.00 "
163367,,,2108,Tie,,,,30302,1046,"$15,000.00 ",$0.00 ,"$1,050.50 ","$15,000.00 ",21-May,4/21/21,,"$15,000.00 ",,,"$15,000.00 "
163370,,2120,,Match,Non_Exact,25,25,100500,1005,$0.00 ,$0.00 ,"$2,272.00 ",$0.00 ,April-21; May-21; June-21; July-21,4/28/21,,"$1,800.00 ",,,"$13,150.00 "
163371,,2124,,Match,Non_Exact,25,25,80900,2000,"$1,050.00 ",$0.00 ,"$4,000.00 ","$1,050.00 ",January-21; February-21; May-21; June-21,5/6/21,,"$3,150.00 ",,,"$3,150.00 "
163372,,2119,,Match,Non_Exact,25,25,81400,4005,"$4,500.00 ","$2,200.00 ","$2,500.00 ","$6,700.00 ",21-May,5/13/21,"$1,500.00 ","$4,030.00 ",,,"$5,530.00 "
163373,,2124,,Match,Non_Exact,25,25,81800,2001,"$3,175.00 ",$0.00 ,$750.00 ,"$3,175.00 ",21-Apr,4/30/21,,"$7,500.00 ",,,"$7,500.00 "
163374,,2128,,Match,Non_Exact,25,25,100100,5000,"$2,250.00 ","$2,452.86 ","$2,814.00 ","$4,702.86 ",21-Apr,4/30/21,,"$4,500.00 ",,,"$4,500.00 "
163375,,2126,,Match,Non_Exact,25,25,81500,1000,"$3,387.00 ","$12,345.00 ","$3,000.00 ","$15,732.00 ",21-Apr,4/30/21,,"$3,387.00 ",,,"$3,387.00 "
163377,,2124,,Match,Non_Exact,25,25,101001,6002,"$10,864.00 ",$480.13 ,$0.00 ,"$11,344.13 ",21-Apr,4/30/21,,"$10,864.00 ",,,"$10,864.00 "
163378,,2124,,Match,Non_Exact,25,25,70402,1010,"$7,660.00 ",$600.00 ,"$1,200.00 ","$8,260.00 ",May-21; June-21,5/6/21,,"$4,560.94 ",,,"$4,560.94 "
163379,,2136,,Match,Non_Exact,25,25,100500,4004,"$12,600.00 ","$2,670.00 ",$580.00 ,"$15,270.00 ",20-Jul,,"$1,399.00 ",,"$12,600.00 ",,"$15,000.00 "
163380,,2125,,Match,Non_Exact,25,25,100400,3002,"$12,820.00 ",$0.00 ,"$2,000.00 ","$12,820.00 ",April-21; April-21,4/9/21,,"$14,420.00 ",,,"$14,420.00 "
163381,,2119,,Match,Non_Exact,25,25,101001,2001,"$9,000.00 ",$500.00 ,"$1,200.00 ","$9,500.00 ",August-21; September-21; October-21,,$500.00 ,"$11,250.00 ",,,"$11,750.00 "
163385,,,2131,No_Match,,,,110301,1002,"$12,800.00 ","$2,300.00 ","$1,800.00 ","$15,100.00 ",April-21; April-21; May-21,4/28/21,,"$15,000.00 ",,,"$15,000.00 "
163386,,,2118,No_Match,,,,80401,1003,"$14,000.00 ",$0.00 ,$0.00 ,"$14,000.00 ",21-Apr,4/27/21,,"$13,625.00 ",,,"$13,625.00 "
163387,,2130,,Match,Non_Exact,25,25,110105,1009,"$6,600.00 ",$0.00 ,"$3,380.00 ","$6,600.00 ",21-Apr,4/21/21,,"$6,600.00 ",,,"$11,550.00 "
163388,,2124,,Match,Non_Exact,25,25,92101,5001,"$8,400.00 ","$5,500.00 ","$1,168.00 ","$13,900.00 ",March-21; April-21,4/30/21,,"$3,600.00 ",,,"$3,600.00 "
163389,,2136,,Match,Non_Exact,25,25,92400,5003,"$8,590.00 ",$0.00 ,$400.00 ,"$8,590.00 ",May-21; June-21; July-21; August-21,5/5/21,,"$10,690.00 ",,,"$10,690.00 "
163390,,2121,,Match,Non_Exact,25,25,140400,1000,"$30,000.00 ","$1,250.00 ","$1,000.00 ","$31,250.00 ",21-Jun,6/21/21,,"$15,000.00 ",,,"$15,000.00 "
163391,,,2111,Tie,,,,70202,1018,"$10,800.00 ",$0.00 ,"$1,360.00 ","$10,800.00 ",May-21; June-21; July-21,5/4/21,,"$15,000.00 ",,,"$15,000.00 "
163393,,2128,,Match,Non_Exact,25,25,140201,1007,"$8,500.00 ","$1,400.00 ",$0.00 ,"$9,900.00 ",21-Jun,6/3/21,"$1,036.57 ","$8,500.00 ",,,"$9,536.57 "
163395,,2128,,Match,Exact,25,25,50200,2001,"$1,405.00 ",$0.00 ,"$2,253.00 ","$1,405.00 ",February-21; February-21; April-21,4/27/21,,"$1,475.00 ",,,"$1,475.00 "
163396,,2125,,Match,Non_Exact,25,25,100500,3002,"$7,150.04 ",$0.00 ,"$2,182.00 ","$7,150.04 ",21-Apr,4/27/21,,"$7,150.00 ",,,"$7,150.00 "
163397,,2124,,Match,Exact,25,25,100400,2000,"$5,783.00 ",$0.00 ,"$2,628.00 ","$5,783.00 ",May-21; June-21; July-21; August-21,5/20/21,,"$10,187.00 ",,,"$10,187.00 "
163398,,2118,,Match,Non_Exact,25,25,51101,1010,"$6,800.00 ",$0.00 ,$0.00 ,"$6,800.00 ",August-21; September-21; October-21,7/20/21,,"$8,500.00 ",,,"$8,500.00 "
163400,,2121,,Match,Non_Exact,25,25,50901,1015,$0.00 ,$543.00 ,$457.00 ,$543.00 ,May-21; June-21; July-21,5/12/21,,"$6,000.00 ",,,"$12,000.00 "
163401,,2128,,Match,Non_Exact,25,25,91100,1001,$575.00 ,$129.00 ,"$2,300.00 ",$704.00 ,21-May,5/20/21,,"$2,300.00 ",,,"$2,300.00 "
163402,,,2121,No_Match,,,,82100,2002,"$5,295.00 ",$800.00 ,$427.00 ,"$6,095.00 ",June-21; July-21; August-21,6/7/21,"$1,500.00 ","$8,472.00 ",,,"$9,972.00 "
163403,,2111,,Match,Non_Exact,25,25,51000,2010,"$14,838.36 ",$0.00 ,"$4,000.00 ","$14,838.36 ",21-Apr,4/27/21,,"$14,838.00 ",,,"$14,838.00 "
163405,,,2111,No_Match,,,,70104,3010,"$2,333.72 ",$0.00 ,$0.00 ,"$2,333.72 ",21-May,5/13/21,,"$2,333.72 ",,,"$2,333.72 "
163406,,2119,,Match,Non_Exact,25,25,92400,5000,"$5,600.00 ",$821.00 ,"$16,616.00 ","$6,421.00 ",21-May,5/5/21,,"$7,450.00 ",,,"$7,450.00 "
163407,,2128,,Match,Non_Exact,25,25,704,2004,"$3,761.77 ",$453.93 ,$0.00 ,"$4,215.70 ",21-May,5/13/21,$741.13 ,"$3,556.71 ",,,"$4,297.84 "
163408,,2115,,Match,Non_Exact,25,25,81302,1001,"$1,964.00 ",$257.96 ,$200.00 ,"$2,221.96 ",May-21; June-21,5/5/21,$257.96 ,"$1,964.02 ",,,"$2,221.98 "
163409,,2135,,Match,Non_Exact,25,25,51101,3012,"$8,500.00 ",$0.00 ,"$1,148.00 ","$8,500.00 ",December-20; January-21; April-21,4/30/21,,"$8,500.00 ",,,"$8,500.00 "
163411,,2132,,Match,Non_Exact,25,25,502,2003,"$4,000.00 ","$2,885.01 ",$0.00 ,"$6,885.01 ",21-Jun,6/8/21,"$1,500.00 ","$4,000.00 ",,,"$5,500.00 "
163412,,,2126,No_Match,,,,101001,6002,"$1,552.00 ",$350.00 ,"$1,148.00 ","$1,902.00 ",21-May,5/6/21,,"$3,104.00 ",,,"$3,104.00 "
163413,,2124,,Match,Non_Exact,25,25,130404,2000,"$17,100.00 ",$0.00 ,"$2,268.00 ","$17,100.00 ",21-May,5/6/21,,"$13,300.00 ",,,"$13,300.00 "
163414,,2119,,Match,Non_Exact,25,25,100603,1010,"$23,850.00 ","$3,281.00 ","$1,148.00 ","$27,131.00 ",21-May,5/13/21,,"$15,000.00 ",,,"$15,000.00 "
163415,,2210,,Match,Non_Exact,25,25,92000,3000,"$15,300.00 ",$0.00 ,$0.00 ,"$15,300.00 ",21-May,5/4/21,,"$15,000.00 ",,,"$15,000.00 "
163416,,2121,,Match,Non_Exact,25,25,81500,1000,"$14,850.00 ",$0.00 ,$0.00 ,"$14,850.00 ",21-Apr,4/30/21,,"$14,850.00 ",,,"$14,850.00 "
163417,,2124,,Match,Non_Exact,25,25,61204,1018,"$4,495.00 ",$0.00 ,"$1,148.00 ","$4,495.00 ",May-21; June-21,5/6/21,,"$11,219.00 ",,,"$11,219.00 "
163418,,2124,,Match,Non_Exact,25,25,90300,1006,"$1,720.00 ","$4,891.00 ",$722.40 ,"$6,611.00 ",May-21; June-21; July-21,5/27/21,,"$1,116.00 ","$1,990.00 ",,"$3,895.00 "
163419,,2136,,Match,Non_Exact,25,25,100400,2000,"$6,235.02 ",$0.00 ,$0.00 ,"$6,235.02 ",February-21; May-21; June-21; July-21,5/4/21,,"$11,819.00 ",,,"$11,819.00 "
163420,,2135,,Match,Non_Exact,25,25,100500,4003,"$14,400.00 ",$0.00 ,$0.00 ,"$14,400.00 ",February-21; May-21,4/30/21,,"$9,000.00 ",,,"$9,000.00 "
163422,,2119,,Match,Non_Exact,25,25,302,2004,"$9,500.00 ",$858.59 ,$544.00 ,"$10,358.59 ",May-21; June-21; July-21,5/4/21,,"$15,000.00 ",,,"$15,000.00 "
163426,,2128,,Match,Non_Exact,25,25,90100,3001,"$15,000.00 ",$0.00 ,"$4,384.00 ","$15,000.00 ",21-Jun,6/21/21,,"$15,000.00 ",,,"$15,000.00 "
163427,,,2130,Tie,,,,120600,2002,"$3,850.00 ",$0.00 ,$824.00 ,"$3,850.00 ",May-21; June-21,5/5/21,,"$7,074.00 ",$1.00 ,,"$13,525.00 "
163429,,2135,,Match,Non_Exact,25,25,50400,2002,"$11,200.00 ",$0.00 ,"$1,500.00 ","$11,200.00 ",21-Apr,4/30/21,,"$11,200.00 ",,,"$11,200.00 "
163431,,2122,,Match,Non_Exact,25,25,30100,1000,"$8,200.00 ",$0.00 ,$0.00 ,"$8,200.00 ",21-May,5/20/21,,"$12,300.00 ",,,"$12,300.00 "
163433,,2124,,Match,Non_Exact,25,25,502,2003,"$2,025.00 ","$1,197.30 ",$0.00 ,"$3,222.30 ",21-Apr,4/30/21,,"$2,025.00 ",,,"$2,025.00 "
163435,,2124,,Match,Exact,25,25,100100,4005,"$12,600.00 ",$0.00 ,$0.00 ,"$12,600.00 ",21-May,5/13/21,$0.00 ,"$14,400.00 ",,,"$14,400.00 "
163436,,2128,,Match,Non_Exact,25,25,100200,2003,"$1,500.00 ","$4,000.00 ",$938.00 ,"$5,500.00 ",October-20; February-21; May-21,5/20/21,,"$9,000.00 ",,,"$9,000.00 "
163437,,2131,,Match,Non_Exact,25,25,92400,5003,"$3,000.00 ",$0.00 ,$0.00 ,"$3,000.00 ",21-May,5/13/21,,"$5,600.00 ",,,"$5,600.00 "
163438,,2121,,Match,Non_Exact,25,25,51000,1000,"$3,000.00 ",$800.00 ,"$3,200.00 ","$3,800.00 ",October-20; May-21; June-21,5/20/21,,"$4,950.00 ",,,"$4,950.00 "
163439,,,2131,No_Match,,,,140106,1001,"$6,177.00 ",$0.00 ,$377.00 ,"$6,177.00 ",21-Jun,6/17/21,,"$6,177.00 ",,,"$6,177.00 "
163441,,2122,,Match,Non_Exact,25,25,90100,5002,$550.00 ,$0.00 ,$900.00 ,$550.00 ,June-21; July-21; August-21,6/11/21,,"$2,200.00 ",,,"$2,200.00 "
163442,,2126,,Match,Non_Exact,25,25,50700,2004,"$7,322.00 ","$1,300.00 ",$0.00 ,"$8,622.00 ",May-21; June-21; July-21,5/6/21,,"$11,506.00 ",,,"$11,506.00 "
163443,,2132,,Match,Non_Exact,25,25,91700,3004,"$4,675.00 ",$0.00 ,$0.00 ,"$4,675.00 ",June-21; July-21; August-21,6/11/21,,"$6,550.00 ",,,"$6,550.00 "
163444,,2121,,Match,Non_Exact,25,25,101102,4006,"$9,000.00 ","$2,200.00 ",$0.00 ,"$11,200.00 ",May-21; June-21; July-21,5/27/21,,"$15,000.00 ",,,"$15,000.00 "
163445,,2121,,Match,Exact,25,25,90200,1003,"$2,200.00 ","$1,300.00 ",$0.00 ,"$3,500.00 ",,7/2/21,,"$2,400.00 ",,,"$2,400.00 "
163446,,2121,,Match,Non_Exact,25,25,101002,2019,"$2,548.00 ","$1,000.46 ",$0.00 ,"$3,548.46 ",,6/25/21,,"$6,395.00 ",,,"$6,395.00 "
163447,,2121,,Match,Exact,25,25,82100,2002,"$1,282.00 ","$1,329.74 ","$4,619.40 ","$2,611.74 ",21-May,5/13/21,,"$1,280.00 ",,,"$1,280.00 "
163449,,2111,,Match,Non_Exact,25,25,92400,3001,"$1,479.00 ","$1,202.86 ",$0.00 ,"$2,681.86 ",21-May,5/6/21,,"$1,653.00 ",,,"$1,653.00 "
163450,,,2128,No_Match,,,,50600,2007,$0.00 ,$0.00 ,"$1,800.00 ",$0.00 ,,7/15/21,,"$2,250.00 ",,,"$2,250.00 "
163451,,2135,,Match,Non_Exact,25,25,70103,1001,$0.00 ,$222.92 ,$920.00 ,$222.92 ,May-21; June-21; July-21; August-21,5/4/21,$222.92 ,"$4,676.00 ",,,"$9,574.92 "
163452,,,2131,No_Match,,,,110201,1011,"$8,700.00 ","$3,500.00 ","$3,200.00 ","$12,200.00 ",May-21; May-21,5/4/21,"$1,500.00 ","$8,700.00 ",,,"$10,200.00 "
163454,,2126,,Match,Non_Exact,25,25,100601,3010,"$9,600.00 ","$1,800.00 ","$1,200.00 ","$11,400.00 ",June-21; July-21,6/2/21,,"$15,000.00 ",,,"$15,000.00 "
163456,,2122,,Match,Non_Exact,25,25,101101,2006,$780.00 ,"$6,947.00 ",$671.00 ,"$7,727.00 ",May-21; June-21; July-21,5/25/21,"$1,500.00 ","$2,916.00 ",,,"$5,596.00 "
163457,,2121,,Match,Non_Exact,25,25,40600,1036,$0.00 ,$150.00 ,"$5,520.00 ",$150.00 ,May-21; May-21; June-21; July-21,5/13/21,$141.90 ,"$5,626.00 ",,,"$5,767.90 "
163458,,2128,,Match,Non_Exact,25,25,50600,1005,"$9,990.00 ","$2,400.00 ","$2,900.00 ","$12,390.00 ",21-Jun,6/16/21,,"$9,990.00 ",,,"$9,990.00 "
163460,,2124,,Match,Non_Exact,25,25,51000,1000,$0.00 ,"$2,893.90 ",$692.00 ,"$2,893.90 ",May-21; June-21; July-21,5/13/21,"$1,500.00 ","$4,275.00 ",,,"$5,775.00 "
163461,,2122,,Match,Non_Exact,25,25,40600,1036,$0.00 ,$265.00 ,"$1,549.00 ",$265.00 ,May-21; June-21; July-21; August-21,5/6/21,,"$1,963.00 ",,,"$1,963.00 "
163462,,2124,,Match,Exact,25,25,92300,3006,"$14,800.00 ",$0.00 ,$0.00 ,"$14,800.00 ",21-May,5/13/21,,"$14,800.00 ",,,"$14,800.00 "
163464,,2125,,Match,Non_Exact,25,25,91900,4003,"$7,880.00 ",$0.00 ,$0.00 ,"$7,880.00 ",21-May,5/13/21,,"$7,970.00 ",,,"$7,970.00 "
163466,,2121,,Match,Non_Exact,25,25,100200,2004,"$1,350.00 ",$0.00 ,$200.00 ,"$1,350.00 ",21-Jan,8/12/21,,"$2,250.00 ",,"$1,500.00 ","$6,000.00 "
163467,,2125,,Match,Non_Exact,25,25,50400,1000,"$4,800.00 ",$0.00 ,$0.00 ,"$4,800.00 ",21-Jun,6/2/21,,"$7,800.00 ",,,"$7,800.00 "
163468,,2131,,Match,Non_Exact,25,25,91300,1003,"$6,000.00 ",$0.00 ,"$1,068.00 ","$6,000.00 ",21-May,5/13/21,,"$6,000.00 ",,,"$6,000.00 "
163469,,,2122,No_Match,,,,91700,1005,"$12,600.00 ",$0.00 ,$0.00 ,"$12,600.00 ",21-May,5/25/21,,"$12,600.00 ",,,"$12,600.00 "
163471,,2124,,Match,Exact,25,25,100500,2005,"$7,205.91 ",$0.00 ,$715.00 ,"$7,205.91 ",21-Jun,6/8/21,,"$7,206.00 ",,,"$7,206.00 "
163472,,2125,,Match,Non_Exact,25,25,90100,5005,"$12,000.00 ",$0.00 ,$0.00 ,"$12,000.00 ",21-Jun,6/9/21,,,"$12,000.00 ",,"$15,000.00 "
163473,,2128,,Match,Non_Exact,25,25,82000,1008,"$6,600.00 ",$0.00 ,"$2,000.00 ","$6,600.00 ",,8/12/21,,"$15,000.00 ","$13,200.00 ",,"$28,200.00 "
163474,,2135,,Match,Non_Exact,25,25,100601,4004,"$5,100.00 ",$467.97 ,$0.00 ,"$5,567.97 ",May-21; May-21,5/28/21,$578.16 ,"$8,500.00 ",,,"$9,078.16 "
163477,,2136,,Match,Non_Exact,25,25,92000,3009,"$1,800.00 ","$5,003.00 ","$2,040.00 ","$6,803.00 ",21-May,5/20/21,"$1,500.00 ","$10,200.00 ",,,"$11,700.00 "
163478,,2128,,Match,Exact,25,25,50200,4002,"$5,500.00 ",$500.00 ,"$1,664.00 ","$6,000.00 ",September-21; October-21; November-21,8/17/21,,"$3,300.00 ","$5,500.00 ",,"$8,800.00 "
163479,,2124,,Match,Non_Exact,25,25,140300,6005,"$4,500.00 ","$2,932.61 ",$912.00 ,"$7,432.61 ",September-20; May-21; June-21; July-21,5/27/21,,"$9,000.00 ",,,"$9,000.00 "
163480,,2121,,Match,Non_Exact,25,25,100400,3002,"$5,400.00 ","$4,325.54 ",$0.00 ,"$9,725.54 ",June-21; July-21; August-21,6/17/21,,"$9,449.00 ",$1.00 ,,"$9,450.00 "
163481,,2124,,Match,Non_Exact,25,25,82100,3002,"$12,000.00 ","$4,000.00 ",$0.00 ,"$16,000.00 ",21-May,5/20/21,,"$13,441.00 ",,,"$13,441.00 "
163482,,2130,,Match,Non_Exact,25,25,82100,3002,"$6,000.00 ",$0.00 ,$0.00 ,"$6,000.00 ",21-May,5/13/21,,,"$6,000.00 ",,"$6,000.00 "
163483,,2121,,Match,Non_Exact,25,25,92300,3007,"$7,500.00 ","$6,800.00 ","$2,000.00 ","$14,300.00 ",21-May,5/20/21,,"$7,500.00 ",,,"$7,500.00 "
163484,,,2130,No_Match,,,,120301,2000,"$3,405.00 ",$0.00 ,$0.00 ,"$3,405.00 ",May-21; July-21,5/27/21,,"$4,137.50 ",,,"$4,137.50 "
163485,,2124,,Match,Non_Exact,25,25,50400,1004,$0.00 ,$0.00 ,"$2,904.00 ",$0.00 ,January-21; February-21; March-21; May-21; June-21; July-21,5/25/21,,"$3,600.00 ",,,"$3,600.00 "
163486,,2131,,Match,Non_Exact,25,25,81900,4003,"$8,900.00 ",$0.00 ,$897.00 ,"$8,900.00 ",21-May,5/20/21,,"$6,800.00 ",,,"$6,800.00 "
163487,,2136,,Match,Non_Exact,25,25,101002,3016,"$5,594.30 ",$720.00 ,$0.00 ,"$6,314.30 ",21-May,5/20/21,,"$7,200.00 ",,,"$7,200.00 "
163488,,2121,,Match,Exact,25,25,90100,4000,"$3,900.00 ",$0.00 ,$0.00 ,"$3,900.00 ",21-May,5/20/21,,"$5,200.00 ",,,"$5,200.00 "
163489,,2119,,Match,Non_Exact,25,25,110401,1000,"$6,150.00 ",$0.00 ,$0.00 ,"$6,150.00 ",21-May,5/20/21,$0.00 ,"$7,750.00 ",,,"$7,750.00 "
163490,,2121,,Match,Non_Exact,25,25,10405,2000,"$6,000.00 ",$0.00 ,$0.00 ,"$6,000.00 ",,7/15/21,,"$14,002.14 ",,,"$14,002.14 "
163491,,2128,,Match,Non_Exact,25,25,90100,5002,"$5,100.00 ","$3,769.00 ",$292.00 ,"$8,869.00 ",April-21; May-21; June-21; July-21; August-21; September-21; October-21; November-21; December-21,9/8/21,,"$5,100.00 ","$8,500.00 ",,"$13,600.00 "
163493,,2122,,Match,Non_Exact,25,25,50400,2006,"$3,700.00 ","$3,600.00 ","$1,500.00 ","$7,300.00 ",January-21; April-21,4/22/21,,"$1,500.00 ",,,"$1,500.00 "
163495,,2128,,Match,Non_Exact,25,25,91700,1004,"$1,056.00 ",$0.00 ,$500.00 ,"$1,056.00 ",21-May,5/26/21,"$1,500.00 ","$1,056.00 ","$1,323.00 ",,"$5,287.00 "
163496,,2136,,Match,Non_Exact,25,25,140300,2006,"$6,000.00 ",$0.00 ,"$2,000.00 ","$6,000.00 ",May-21; June-21; July-21,5/25/21,,"$12,000.00 ",,,"$12,000.00 "
163497,,2131,,Match,Non_Exact,25,25,81001,4003,"$4,190.00 ",$0.00 ,"$4,000.00 ","$4,190.00 ",May-21; June-21; July-21,5/13/21,,"$8,380.00 ",,,"$8,380.00 "
163498,,,2136,No_Match,,,,140202,3002,"$9,574.00 ",$0.00 ,$0.00 ,"$9,574.00 ",May-21; June-21; July-21,5/12/21,,"$13,324.00 ",,,"$13,324.00 "
163499,,2118,,Match,Non_Exact,25,25,110403,2002,"$3,200.00 ",$280.00 ,$0.00 ,"$3,480.00 ",21-Jun,7/19/21,,"$7,400.00 ",,,"$7,400.00 "
163500,,2121,,Match,Non_Exact,25,25,120301,2001,"$3,000.00 ","$7,400.00 ",$0.00 ,"$10,400.00 ",December-20; June-21; July-21; August-21,5/28/21,"$1,500.00 ","$6,750.00 ",,,"$8,250.00 "
163504,,2134,,Match,Non_Exact,25,25,60603,1005,"$1,609.10 ","$1,439.12 ","$2,000.00 ","$3,048.22 ",May-21; June-21; July-21,5/20/21,,"$4,476.00 ",,,"$4,476.00 "
163505,,2125,,Match,Non_Exact,25,25,604,1005,"$4,137.00 ",$0.00 ,"$2,000.00 ","$4,137.00 ",September-20; October-20; May-21; May-21; June-21,4/29/21,,"$9,653.00 ",,,"$9,653.00 "
163506,,2128,,Match,Non_Exact,25,25,92101,5009,"$4,400.00 ","$1,160.00 ","$2,200.00 ","$5,560.00 ",May-21; June-21; July-21,5/20/21,,"$8,800.00 ",,,"$8,800.00 "
163507,,,2125,No_Match,,,,91500,2005,"$15,000.00 ","$1,500.00 ","$2,000.00 ","$16,500.00 ",21-May,5/20/21,,"$15,000.00 ",,,"$15,000.00 "
163508,,2122,,Match,Non_Exact,25,25,70402,1007,"$3,685.00 ",$858.00 ,$0.00 ,"$4,543.00 ",May-21; June-21; July-21,5/20/21,,"$15,000.00 ",,,"$15,000.00 "
163509,,,2115,Tie,,,,10204,3007,$989.00 ,$0.00 ,"$1,100.00 ",$989.00 ,May-21; June-21; July-21; August-21,5/27/21,,"$4,943.00 ",,,"$4,943.00 "
163510,,2124,,Match,Non_Exact,25,25,51000,1000,"$4,785.00 ",$0.00 ,"$2,500.00 ","$4,785.00 ",21-May,5/25/21,,"$4,785.00 ",,,"$4,785.00 "
163511,,2124,,Match,Exact,25,25,100400,1001,"$12,950.00 ","$5,000.00 ","$2,000.00 ","$17,950.00 ",,5/26/21,"$1,500.00 ","$14,450.00 ",,,"$15,950.00 "
163512,,2124,,Match,Exact,25,25,92200,1010,"$8,400.00 ","$4,106.00 ","$1,500.00 ","$12,506.00 ",21-Jun,5/25/21,$682.45 ,"$14,682.45 ",,,"$15,364.90 "
163515,,2126,,Match,Non_Exact,25,25,10403,1002,"$17,920.00 ",$0.00 ,"$2,000.00 ","$17,920.00 ",21-May,5/5/21,,"$15,000.00 ",,,"$15,000.00 "
163517,,2128,,Match,Non_Exact,25,25,100300,3008,"$8,400.00 ","$2,200.00 ","$14,269.00 ","$10,600.00 ",21-May,5/25/21,$700.00 ,"$14,300.00 ",,,"$15,000.00 "
163518,,2124,,Match,Non_Exact,25,25,50500,1003,"$6,000.00 ",$0.00 ,"$1,500.00 ","$6,000.00 ",,7/15/21,,"$7,500.00 ",,,"$7,500.00 "
